"","model","term","estimate","std.error","statistic","p.value"
"1","ALARM.CALL","SPECIESISSJ",-0.226803083233815,0.155454271889057,-1.45896976955176,0.144573428335824
"2","ALARM.CALL","TREATMENTCONTROL",-0.687765941418268,0.202610974983733,-3.3945147417285,0.000687503385967623
"3","ALARM.CALL","GROUP.SIZE",0.415202170333152,0.0731331686471083,5.67734419298362,1.36802033926543e-08
"4","ALARM.CALL","SEASONWINTER",0.381730307081936,0.18168446889594,2.10106185411242,0.0356355368865617
"5","ALARM.CALL","HYPOTENUSE",-0.0148251491711775,0.0867385250549796,-0.17091769962402,0.864288479161425
"6","MOB.CALL","SPECIESISSJ",-2.63980763221307,0.388746999343516,-6.79055436227406,1.11703475525288e-11
"7","MOB.CALL","TREATMENTCONTROL",-1.63003758150951,0.399105583829767,-4.08422644922148,4.4223888695071e-05
"8","MOB.CALL","GROUP.SIZE",0.337865843507034,0.18136690395846,1.8628858746159,0.0624783245665096
"9","MOB.CALL","SEASONWINTER",-0.835049623093256,0.447661653564783,-1.86535884064149,0.0621311225727388
"10","MOB.CALL","HYPOTENUSE",0.0306692192631803,0.260540859305139,0.117713664355659,0.906294539468876
"11","LATENCY","SPECIESISSJ",0.485931428588558,0.187811663713972,2.58733360313876,0.00967218985777562
"12","LATENCY","TREATMENTCONTROL",0.359642176802165,0.14885776258256,2.41601224257754,0.0156915337455539
"13","LATENCY","GROUP.SIZE",-0.024329027203492,0.0648991105407326,-0.374874586119673,0.707753740428116
"14","LATENCY","SEASONWINTER",0.149508647180853,0.170088193119027,0.87900661673928,0.379397688220842
"15","LATENCY","HYPOTENUSE",0.0978445003029316,0.087289102381748,1.12092457859196,0.262319967725885
